id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
010111,-1.1571627,-1.1446247,-0.29034969,-1.9158782,-1.0262946
010112,0.78633577,0.51550847,0.68013853,0.27587137,1.2586167
010113,0.34540012,0.63411289,0.54919261,0.64644963,-0.40568218
010114,0.8463884,0.99607277,1.1165586,0.74418831,0.30760807
010221,-0.91724831,-1.0668956,-0.79425442,-1.2262999,-0.39810136
010222,-0.85148072,-1.011938,-0.44831893,-1.4890383,-0.34497342
010331,-2.1659219,-1.9005773,-2.0720387,-1.4823992,-2.3450477
010332,-1.7718838,-1.9004724,-1.7729361,-1.8017776,-1.1172961
010441,-0.95832962,-0.90052015,-1.0597445,-0.61905825,-0.88829529
010442,-2.0809138,-1.993762,-1.7406492,-2.0177083,-1.8889766
020101,-2.8776863,-3.31777,-2.7104716,-3.5564604,-1.2976896
020202,-0.5261367,-0.73279059,-0.27989012,-1.1261036,0.034161374
020303,-2.5413952,-2.9102662,-1.6374271,-3.9104493,-1.2567251
020304,-1.1600906,-1.4148983,-0.72635335,-1.9756587,-0.3768571
020405,0.11037305,0.39608648,0.16547106,0.59352261,-0.57337916
020407,0.27119023,0.29891768,0.25739512,0.30632684,0.15371446
020506,-0.10490196,-0.051873688,0.1261396,-0.23566242,-0.22544523
020508,-0.15429725,0.32214877,0.25131387,0.3580052,-1.2530059
030101,-1.3655891,-0.61287987,-0.93690544,-0.19089477,-2.8558114
030202,0.59695703,0.79456741,0.89639121,0.5875358,-0.0039603724
030203,0.95804632,0.76552576,0.84320748,0.58787984,1.2163169
030304,1.1816996,1.0092573,1.011497,0.8820852,1.3532896
030307,1.2662662,1.3369794,1.3157537,1.1943617,0.8429476
030405,1.0932498,1.0932446,1.0798626,0.97238022,0.87293303
030406,0.48361343,0.57846022,0.48627144,0.60544378,0.16742676
030408,0.29663375,0.47395536,0.34577128,0.55231923,-0.17522812
030509,-0.28492016,0.21723077,0.096217304,0.31967303,-1.4141316
030510,0.07588955,0.2055663,-0.18638435,0.5989393,-0.2148976
030611,0.22067153,0.48684219,0.56337327,0.34488052,-0.46531299
030612,0.39682311,0.45087442,0.40480369,0.44435605,0.19151869
030613,0.047179423,0.31181243,0.79415828,-0.24211098,-0.63498521
030614,-0.13044211,-0.0074612093,-0.18072423,0.17858784,-0.38232023
030715,0.95651156,0.86794668,1.0812819,0.53269613,0.95551503
030716,0.3849692,0.56949145,0.77440751,0.28013572,-0.15068249
040101,-0.87062818,-1.217397,-1.5051244,-0.7594561,0.15742882
040202,1.2837681,1.1478026,1.4340185,0.70008105,1.3232132
040203,0.75608051,0.44208536,0.78420526,0.021883121,1.3221183
040304,-0.54535526,-0.81415117,-0.02316284,-1.5586426,0.13785864
040305,-0.58550799,-0.63189012,-0.47784841,-0.71835589,-0.36957535
040306,-0.40592968,-0.74141389,-0.11704373,-1.3168713,0.42242247
040307,0.62101513,0.32111412,0.48459601,0.10673769,1.1962132
040308,0.12728079,-0.21542601,0.022669427,-0.4431901,0.89814079
040309,0.56142581,0.30232966,0.80439645,-0.27149266,1.0222007
040310,0.73580074,0.469109,0.55660754,0.31762135,1.2151097
040411,0.8705613,0.72095871,1.0263569,0.30551416,1.0245819
040412,0.97593838,0.93386692,1.0476584,0.69682586,0.86872756
040413,0.66878885,0.32384261,0.62414104,-0.037055735,1.3299199
040514,0.57608289,0.40225312,0.51560247,0.23141029,0.86409265
040515,0.32328728,0.11402832,0.25844744,-0.054377183,0.74431223
040516,0.37510777,0.24828336,0.58238268,-0.13938858,0.57271397
050101,-0.080180287,0.013708469,0.075028613,-0.05350519,-0.29310018
050102,-1.0465882,-1.0999985,-1.1972715,-0.86006731,-0.69881427
050103,-1.2717013,-1.148108,-1.5029709,-0.62700158,-1.2781702
