id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
0101,0.33107603,0.50067228,0.62758875,0.31934199,-0.17756669
0102,-0.89127415,-1.0147384,-0.64184892,-1.2924875,-0.43167034
0103,-1.9815774,-1.8671467,-1.9572523,-1.5833259,-1.8655037
0104,-1.5933682,-1.4785804,-1.4629323,-1.3429173,-1.5657333
0201,-2.8991683,-3.2739897,-2.7642305,-3.4601216,-1.4094639
0202,-0.5270142,-0.70798373,-0.27706712,-1.0766242,0.00017630303
0203,-1.8091898,-2.0697157,-1.1639107,-2.7849572,-0.86436313
0204,0.19726512,0.36373803,0.22631948,0.46714324,-0.25294843
0205,-0.13341516,0.20135474,0.21894279,0.16268712,-0.95834547
0301,-1.373822,-0.58895314,-0.94937718,-0.15944685,-3.0585909
0302,0.75178891,0.796619,0.90480328,0.60411006,0.47704187
0303,1.2323966,1.1608895,1.1779958,1.0242769,1.164542
0304,0.54762727,0.6609292,0.57891029,0.67711473,0.15702306
0305,-0.16912986,0.23142035,0.016780728,0.42747682,-1.1332216
0306,0.14525354,0.32856956,0.39875892,0.22298557,-0.35578933
0307,0.64675045,0.71560669,0.94048274,0.41191259,0.32170892
0401,-0.87452412,-1.1890332,-1.5308239,-0.71704584,0.13064341
0402,0.93790627,0.68392628,1.0259905,0.26347795,1.3637321
0403,0.034345217,-0.22160217,0.16710655,-0.59691823,0.64278495
0404,0.83752578,0.65061992,0.91659623,0.31150484,1.119987
0405,0.45187992,0.30160469,0.51902199,0.048020903,0.72322696
0501,-0.89502972,-0.82190287,-1.0094436,-0.5455364,-0.88395846
0502,-0.38225576,-0.47608212,-0.72921216,-0.16802783,-0.044489175
0503,-0.38345498,-0.38816535,-0.76221496,0.034695074,-0.26098627
0504,1.6560296,1.617781,1.6065633,1.4633006,1.4210099
0601,0.68450838,0.48856047,0.5202235,0.40601528,1.0416166
0602,0.26972446,0.42427212,0.32954976,0.47774488,-0.16858856
0603,1.1517912,1.0363028,1.0513088,0.91462225,1.2120376
0604,1.5636702,1.4415332,1.5586202,1.1737459,1.5488353
0701,-0.99088353,-1.3985595,-0.2896229,-2.3906679,0.14491045
0702,-0.20274667,-0.43321124,0.023344541,-0.85629594,0.38262185
0703,0.62247288,0.48972982,0.65981001,0.26532117,0.81919658
0704,-0.099920295,-0.26054963,-0.35766396,-0.13437174,0.33678749
0705,0.11234395,-0.0084386626,-0.23529208,0.22473218,0.41672334
0706,-0.0668917,-0.027713945,-0.18713377,0.13838023,-0.13871346
0707,0.4447796,0.44071341,0.29322845,0.54653007,0.37878057
0801,-1.8528342,-1.8067476,-1.4861968,-1.9496481,-1.625718
0802,-0.22751909,-0.26853058,-0.18370171,-0.3278496,-0.085157849
0803,-0.80679858,-1.0665078,-1.0699985,-0.95352042,0.015396978
0804,0.96296537,0.90051264,0.87294203,0.83636254,0.93030447
0901,0.2876699,0.42874256,0.20299594,0.61592972,-0.10834487
0902,-0.43048123,-0.0090001058,-0.34779906,0.33886412,-1.3840778
0903,0.85201353,0.87614864,0.75393432,0.91141617,0.63021183
0904,0.51903868,0.58774644,0.59435827,0.520679,0.23953481
0905,0.95517367,0.99255639,0.97690821,0.90675449,0.66946906
1001,-0.76508647,-0.72619474,-1.3351129,-0.028143007,-0.65562755
1002,-1.0120102,-0.87417299,-1.4897153,-0.15415692,-1.1035724
1003,1.2106147,1.177292,1.2138584,1.0190687,1.0484315
1004,1.6620616,1.400265,1.3875029,1.2696811,1.9937021
1101,-0.66963935,-0.56432772,-1.0698327,0.011219693,-0.75729001
1102,0.28714231,0.45439595,0.31014153,0.55550075,-0.18252563
1103,-0.42284247,-0.15671748,-0.55455005,0.26675329,-0.97815859
1104,-0.3614794,-0.19152677,-0.50936002,0.15359327,-0.69203061
1105,0.98065579,1.1426758,1.0995145,1.0696476,0.37574241
1210,-0.9497301,-0.89507335,-1.1444535,-0.54787481,-0.87523073
1221,-0.5303151,-0.43078807,-0.54863179,-0.26591796,-0.6658808
1222,1.7262068,1.4637202,1.5942464,1.1798947,2.0339148
1223,1.5505664,1.5179902,1.6427583,1.2344937,1.3102285
1230,-0.31084183,-0.26093566,-0.35372844,-0.13914363,-0.36677498
