id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
010111,-0.51435292,-0.61138558,-0.090434551,-1.106649,-0.21657206
010112,0.82907408,0.57332569,0.64149225,0.45982489,1.2998506
010113,0.88135403,0.72193319,0.61392272,0.78025669,1.113534
010114,1.2549762,1.1070504,1.1488173,0.9811756,1.3543842
010221,-0.82002932,-0.86405975,-0.59172559,-1.0823848,-0.55908597
010222,-0.71353781,-0.82678616,-0.36750242,-1.241974,-0.32117105
010331,-1.9899303,-1.9018291,-2.3524001,-1.2923098,-1.7164408
010332,-1.8250844,-1.8782177,-1.8849245,-1.7312621,-1.2799964
010441,-1.0407194,-1.0848511,-1.0202345,-1.0710748,-0.70299101
010442,-2.0179067,-2.0420973,-1.7676157,-2.1748466,-1.5421782
020101,-2.1683135,-2.6353457,-2.1853042,-2.9061377,-0.53201962
020202,-0.15004529,-0.43892461,0.048408139,-0.9121412,0.56939936
020303,-1.60461,-1.795508,-1.2970476,-2.1791642,-0.81740367
020304,-1.0583159,-1.055195,-0.3096168,-1.7505792,-0.92924798
020405,-0.0046569901,0.33916435,0.24365306,0.41304123,-0.88407314
020407,0.17227472,0.19777735,0.089091487,0.29586989,0.082030766
020506,0.1153386,0.37272519,0.60339588,0.10546997,-0.6093092
020508,0.31782639,0.47226173,0.51136267,0.39646855,-0.15920396
030101,-0.82283103,-0.59161294,-0.9037258,-0.2234925,-1.1990967
030202,0.94714689,0.93528557,0.86913985,0.93424433,0.77588409
030203,1.0161574,0.86524069,0.89637184,0.76843077,1.1778891
030304,0.84997571,0.81695563,0.66343439,0.91544431,0.76682574
030307,1.090284,1.159404,0.92401099,1.3173649,0.69914967
030405,1.099357,1.1638581,1.091046,1.1527009,0.69675183
030406,0.75495064,0.7341013,0.6892423,0.72595626,0.64700073
030408,0.59672147,0.67215598,0.68853301,0.60505497,0.26581734
030509,0.21543436,0.41868356,0.48544249,0.31817025,-0.36924726
030510,0.18248565,0.10056427,0.0020237865,0.19537,0.36765754
030611,0.66230196,0.69737434,0.88649309,0.44905928,0.39884999
030612,0.56674194,0.66890985,0.75896955,0.52555591,0.1633507
030613,0.52607352,0.4470219,0.93623781,-0.094183594,0.54977769
030614,-0.62930346,-0.069739863,-0.25897744,0.13191797,-1.9177084
030715,1.0452265,0.99378967,1.1566657,0.75062573,0.92471433
030716,0.83807707,0.70636815,0.92363977,0.42815524,0.96499383
040101,-1.0476586,-1.2591286,-1.4095269,-1.0091412,-0.24536836
040202,1.1873306,1.1146559,1.2095325,0.93307739,1.0993274
040203,0.99538445,0.6888814,0.86352646,0.4562254,1.5469307
040304,-0.26563275,-0.48476377,0.19290034,-1.1521591,0.27325979
040305,-0.014214665,-0.31425351,-0.045549165,-0.56979007,0.73282963
040306,-0.1515404,-0.50310504,0.18966439,-1.184815,0.70395434
040307,0.66917038,0.49109086,0.65115297,0.28831664,0.96167147
040308,0.48104236,0.32710648,0.43028763,0.19560665,0.76020628
040309,0.86201471,0.53264207,0.83039755,0.18382235,1.4864038
040310,0.8712132,0.55677146,0.79530907,0.26763126,1.4625859
040411,0.84840208,0.77493042,1.0115308,0.47154087,0.8192032
040412,0.919958,0.91332769,1.056711,0.69639754,0.71351564
040413,0.69105685,0.55923778,0.78615278,0.28197983,0.84970838
040514,0.6602692,0.48647004,0.63595575,0.29502022,0.94502872
040515,0.15747157,0.1237931,0.37443131,-0.14563762,0.17683487
040516,0.640477,0.50035191,0.7650792,0.18822774,0.82697129
050101,-0.3067905,-0.109544,0.046497546,-0.263376,-0.77143258
050102,-1.3023157,-1.1491299,-1.4175514,-0.78481382,-1.3749472
050103,-1.5181677,-1.2866918,-1.4146318,-1.0579655,-1.7646468
050204,0.079689614,0.17876634,-0.16094579,0.51811922,-0.15057263
050205,-1.5004008,-1.6836964,-2.0524151,-1.1754116,-0.6417253
050206,-0.60619062,-0.54563272,-0.62167954,-0.42601496,-0.61853838
050307,-0.87859482,-0.77323425,-0.94604605,-0.53619421,-0.93392134
050308,-0.28371185,-0.50130552,-0.60326213,-0.35809302,0.35806823
050409,1.5153284,1.4540706,1.3540438,1.4495357,1.3503847
060101,0.87161195,0.9671759,1.0630683,0.79553545,0.41675225
060102,0.54950714,0.4621532,0.67485017,0.20689215,0.62604272
060203,0.25034922,0.21342322,0.39822638,0.0056596226,0.2661624
060204,0.63102567,0.5324316,0.42737803,0.60180992,0.7605353
060305,0.96277201,0.86458957,0.97689486,0.68355608,0.98870182
060306,1.0663903,1.0575428,1.0349138,1.0022116,0.85501933
060407,1.3571107,1.1960227,1.2926763,1.0065349,1.4607341
060408,1.4679936,1.3394575,1.3747482,1.2029835,1.4704833
070101,-0.76828992,-1.0973686,-0.39788079,-1.7417601,0.16517749
070202,-0.010096413,-0.21753561,0.18436271,-0.61855835,0.47793719
070303,0.85006273,0.60560405,0.7670393,0.39286906,1.2745385
070404,-0.10693384,-0.19322184,-0.23477346,-0.13568266,0.146475
070505,-0.15820076,-0.22312939,-0.37379539,-0.050082341,0.065534241
070606,-0.41628829,-0.43193167,-0.8974852,0.083583601,-0.22158429
070707,0.15508297,0.19277564,-0.055452291,0.43610865,0.055412583
080101,-1.8972943,-2.1097317,-1.566119,-2.5168428,-0.99495715
080102,-2.3987598,-2.4904249,-1.9542874,-2.8614006,-1.697528
