id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
01011101,0.87645614,0.37217203,0.75277644,-0.055861462,1.6375602
01011103,-1.5584612,-0.96761262,-0.44076282,-1.3711512,-2.4057195
01011104,-0.7871176,-1.2641577,-0.67429048,-1.6929224,0.35816917
01011105,1.5780597,1.2484518,1.1419803,1.1958225,1.8335866
01011201,0.6284253,0.52726662,0.38002425,0.60731483,0.6789273
01011203,1.4339732,0.99200666,0.91200787,0.94558549,1.9597147
01011204,0.69982684,0.50454247,0.6156016,0.32918519,0.8981362
01011301,1.1962057,1.1880349,1.2139227,1.0107456,0.87753373
01011302,0.81047368,0.71414161,0.71271896,0.62455505,0.78481025
01011303,0.6352244,0.40251881,0.44801876,0.30572242,0.93605918
01011304,0.20470373,0.086341172,-0.30759922,0.46927837,0.43500364
01011305,1.0347698,0.78010976,0.55044949,0.91035396,1.2991927
01011306,0.77608192,0.85482836,0.68694067,0.91377789,0.41472337
01011401,0.96393347,0.97115862,0.9690541,0.8495,0.68095219
01011402,1.224784,1.0236986,1.050929,0.86600941,1.297956
01022101,-1.6017652,-1.732406,-1.5442154,-1.6998211,-0.90522408
01022102,-2.280973,-1.7371641,-1.2969394,-1.9560072,-2.8204544
01022104,-0.6154812,-0.72470784,-0.53127801,-0.82578188,-0.23833743
01022105,-0.72620142,-1.2811605,-1.0730081,-1.3260435,0.60425115
01022106,0.49668151,0.41951436,0.601147,0.18441942,0.49914268
01022201,-0.6584484,-0.8065353,-0.4519076,-1.0583793,-0.20592257
01022202,-0.3414562,-0.65729886,-0.32100397,-0.90982854,0.37259248
01022203,-1.4968007,-1.7078059,-1.4353853,-1.762586,-0.67181545
01022204,0.28614059,0.33316353,0.53842705,0.085442096,0.087212093
01022205,-2.370723,-2.4874771,-1.5274756,-3.1304781,-1.5710492
01022206,0.12583753,0.025139796,0.57443964,-0.52736384,0.24118653
01022207,0.30151114,0.31652859,0.72237629,-0.12965705,0.14333346
01033101,-1.8303934,-1.7805194,-2.2269092,-1.1072227,-1.3770046
01033102,-1.248174,-1.2960538,-1.5537251,-0.87321514,-0.77420008
01033201,-1.4701349,-1.7411516,-1.9573457,-1.3030674,-0.4762136
01033202,-0.88852412,-0.72354847,-0.79525286,-0.55963612,-0.9756757
01033203,-2.0057576,-2.1235063,-1.8755333,-2.1008625,-1.2298833
01044101,-0.84955436,-0.8896845,-0.87762606,-0.7883628,-0.53124207
01044102,-0.75213939,-0.87929475,-0.91392416,-0.73260927,-0.27555528
01044103,-1.0593781,-1.0661125,-0.76997626,-1.226385,-0.78211349
01044201,-1.6236789,-1.788913,-2.0064037,-1.3434458,-0.80619615
01044202,-1.3272738,-1.3440936,-0.81624663,-1.700651,-0.97918874
01044203,-2.1280358,-2.1438024,-1.5290949,-2.4853065,-1.5685462
02010101,-1.8211219,-2.2334678,-1.1276835,-3.0546219,-0.57707739
02010102,-1.6328057,-2.2204082,-1.6506472,-2.5072033,-0.020847416
02010103,-1.8920236,-2.1174505,-2.3455038,-1.619552,-0.87395966
02010104,-1.9712766,-2.9278507,-2.0462937,-3.4362867,0.46664792
02020201,1.3399963,1.0272489,1.1317271,0.79185951,1.6043874
02020202,-0.31104875,-0.76928192,-0.24286126,-1.1976664,0.66952175
02020203,0.2661337,0.041010909,0.28474748,-0.20795204,0.63287795
02020204,-0.29036444,-0.32388169,0.12883258,-0.73532093,-0.18820865
02020205,-0.061582427,-0.214641,0.34224209,-0.74417055,0.21366353
02020206,-0.30882624,-0.72277516,-0.37309721,-0.98034364,0.59810776
02030301,-1.7263213,-1.7593549,-1.5169816,-1.7775185,-1.2032343
02030302,-1.0584911,-1.3906211,-0.8325299,-1.7714934,-0.1347319
02030401,-1.0073515,-0.91675127,-0.45363653,-1.2630365,-0.96410358
02030402,-0.67932701,-0.8617456,0.015674956,-1.6293465,-0.20539466
02040501,-0.91495317,-0.12285964,-0.5693354,0.33927318,-2.2550108
02040502,0.11622564,0.29240638,0.24799336,0.29955554,-0.27664104
02040503,0.39604113,0.55775201,0.58336186,0.461063,-0.052133702
